datetime,voltaje,corriente,potencia,frecuencia,energia,fp,ESP32_temp,WORKSTATION_CPU,WORKSTATION_CPU_POWER,WORKSTATION_CPU_TEMP,WORKSTATION_GPU,WORKSTATION_GPU_POWER,WORKSTATION_GPU_TEMP,WORKSTATION_RAM,WORKSTATION_RAM_POWER,temperature(℃),humidity(%),wind_speed(m/s)
2021-05-05 22:00:00,120.0345,0.94158,97.38566,59.95918,0.05183,0.86154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,85,9.7
2021-05-05 23:00:00,120.02421,0.95084,98.68517,59.95822,0.1381,0.8644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,86,8.8
2021-05-06 00:00:00,120.03085,0.93458,96.58127,59.97054,0.23638,0.86062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,87,8.0
2021-05-06 01:00:00,120.0303,0.93626,96.66061,59.96101,0.3325,0.86041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,87,9.4
2021-05-06 02:00:00,120.02501,0.93766,96.9767,59.96433,0.42999,0.8612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,87,10.5
2021-05-06 03:00:00,120.03151,0.93923,96.99668,59.96498,0.52661,0.86059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,88,9.5
2021-05-06 04:00:00,120.02032,0.95142,98.71218,59.96077,0.62495,0.86401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,88,8.5
2021-05-06 05:00:00,120.03003,0.93918,96.95134,59.96211,0.73367,0.8605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,89,8.2
2021-05-06 06:00:00,120.03126,0.93942,96.9775,59.95925,0.8195,0.86045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,88,8.6
2021-05-06 07:00:00,120.01664,0.94911,98.48045,59.96041,0.91772,0.86398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,90,7.7
2021-05-06 08:00:00,120.01195,0.93538,96.67873,59.96432,1.01522,0.86061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,86,8.9
2021-05-06 09:00:00,120.01109,0.93489,96.65229,59.95689,1.11133,0.86066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,82,8.4
