datetime,voltaje,corriente,potencia,frecuencia,energia,fp,ESP32_temp,WORKSTATION_CPU,WORKSTATION_CPU_POWER,WORKSTATION_CPU_TEMP,WORKSTATION_GPU,WORKSTATION_GPU_POWER,WORKSTATION_GPU_TEMP,WORKSTATION_RAM,WORKSTATION_RAM_POWER,temperature(℃),humidity(%),wind_speed(m/s)
2021-06-10 02:00:00,119.91625,1.10593,120.91,59.97145,81.9257,0.91128,33.8813,9.72284,38.60152,35.55329,0.54211,34.65724,14.03107,30.95291,11.50924,21.7,88,4.5
2021-06-10 03:00:00,119.9187,1.09949,119.82254,59.96688,82.07894,0.90888,33.88042,8.62065,41.40031,35.53533,0.02293,34.9997,14.25619,30.22815,12.49168,21.7,88,5.0
2021-06-10 04:00:00,119.91296,1.10966,121.05167,59.96661,82.16827,0.90955,33.87262,9.10446,40.69773,36.07617,0.00679,34.99646,14.16466,30.25557,12.5957,21.6,88,6.4
2021-06-10 05:00:00,119.92663,1.0869,118.26531,59.96333,82.28821,0.90752,33.87991,7.83958,40.57775,34.61913,0.00354,34.97963,14.16803,30.32101,12.19047,21.5,89,6.9
2021-06-10 06:00:00,119.9258,1.08666,118.24894,59.96434,82.40628,0.90749,33.8645,7.87342,40.30228,34.57999,0.00502,34.86629,14.15852,30.47111,11.9597,21.4,90,6.6
2021-06-10 07:00:00,119.9116,1.1061,120.63454,59.96684,82.52581,0.90937,31.49926,9.21955,40.12536,36.1488,0.00561,32.86773,14.14215,30.49776,12.33201,21.6,89,6.9
2021-06-10 08:00:00,119.91187,1.0843,117.92471,59.96705,82.64505,0.90727,29.71973,7.83815,39.57031,35.12755,0.00472,29.94715,14.12696,30.51019,12.5833,22.6,84,6.9
2021-06-10 09:00:00,119.90469,1.08564,118.11402,59.96904,82.76324,0.90748,29.98495,7.84412,38.7764,35.18979,0.00531,29.61541,14.11365,30.57976,12.62993,24.3,77,5.6
2021-06-10 10:00:00,119.90089,1.10733,120.7623,59.96628,82.88242,0.90942,31.94876,9.18767,38.49312,36.2793,0.00531,32.79953,14.12954,30.63028,12.78236,25.8,71,6.0
2021-06-10 11:00:00,119.92034,1.08452,118.00266,59.96635,83.00198,0.90749,31.75145,7.82354,38.50429,34.66617,0.00738,32.98081,14.09748,30.63939,12.15496,27.3,67,5.9
2021-06-10 12:00:00,119.9191,1.08536,118.07644,59.96994,83.12001,0.90748,31.74356,7.9011,38.41873,34.81577,0.00797,32.79658,14.13251,30.70913,12.21425,28.5,63,6.8
2021-06-10 13:00:00,119.922,1.086,118.17833,59.97056,83.23794,0.90763,33.12057,7.82711,38.37469,34.62356,0.00561,33.60289,14.12737,30.76597,12.19228,29.2,60,8.7
2021-06-10 14:00:00,119.90682,1.10867,120.95955,59.96696,83.35762,0.90967,33.79386,9.1743,38.50425,36.18778,0.00561,34.86271,14.18751,30.75537,12.36438,28.7,63,11.8
2021-06-10 15:00:00,119.92781,1.08784,118.40402,59.97366,83.47738,0.90768,33.91231,7.83335,38.67666,34.74284,0.00531,35.00118,14.16616,30.77403,11.93147,28.7,61,11.0
2021-06-10 16:00:00,119.92725,1.09029,118.69829,59.97281,83.59592,0.90792,34.04337,7.93439,38.80842,34.79451,0.01063,35.27783,14.24382,30.7971,12.10535,28.0,65,11.0
2021-06-10 17:00:00,119.92566,1.09306,118.93336,59.9669,83.71482,0.9076,34.10589,7.81604,38.92493,34.64836,0.00561,35.92648,14.46754,30.68348,11.98652,26.6,68,11.6
2021-06-10 18:00:00,119.92134,1.10813,120.78382,59.96434,83.85032,0.90898,34.16914,8.77768,39.07726,35.68938,0.00529,35.98191,14.44486,30.83054,12.27118,25.4,72,11.6
2021-06-10 19:00:00,119.93401,1.09534,119.26241,59.97151,83.93145,0.90795,34.14882,8.05479,39.16382,34.69766,0.06116,35.97862,14.49193,30.96488,12.09737,25.1,74,13.0
2021-06-10 20:00:00,119.93609,1.09252,118.93582,59.96878,84.07665,0.90775,34.30495,8.19911,39.85833,34.63712,0.00833,35.88304,14.44247,33.39025,11.67895,24.1,73,14.9
2021-06-10 21:00:00,119.92501,1.09428,119.31326,59.97095,84.18897,0.90921,34.30569,8.99331,40.44033,34.36345,0.96073,35.90227,14.50601,34.38154,11.07108,23.0,76,12.0
2021-06-10 22:00:00,119.9326,1.09347,118.9897,59.96962,84.30797,0.90752,34.09418,7.98561,40.44843,34.72719,0.00531,35.35932,14.46636,30.59398,12.02322,22.4,79,8.7
2021-06-10 23:00:00,119.92356,1.11285,121.36433,59.96735,84.4281,0.9093,34.00224,9.40642,40.55676,36.124,0.00354,35.04252,14.4574,30.63026,12.19537,21.9,83,7.4
2021-06-11 00:00:00,119.92958,1.09164,118.88471,59.97074,84.54846,0.9081,33.97007,7.9935,40.6235,34.54414,0.00561,35.0,14.45443,30.68011,11.89799,21.7,86,7.8
2021-06-11 01:00:00,119.9302,1.09199,118.80815,59.96637,84.66701,0.9073,33.96208,7.98838,40.50972,34.6333,0.00384,35.0,14.48341,30.72655,11.82156,21.4,88,6.9
2021-06-11 02:00:00,119.92663,1.09296,119.00295,59.97012,84.7863,0.90777,33.91862,8.00443,40.40874,34.77443,0.00561,35.0,14.45606,30.74321,12.0815,21.1,88,5.7
2021-06-11 03:00:00,119.92344,1.09429,119.0605,59.96371,84.90526,0.90742,33.87298,8.05704,40.33164,34.74786,0.00768,35.00325,14.48727,30.83442,11.9717,20.9,89,6.5
2021-06-11 04:00:00,119.91101,1.11339,121.45248,59.9616,85.02547,0.9095,33.86017,9.35632,40.31628,36.11865,0.00354,35.0,14.4705,30.79099,12.3505,20.8,89,6.8
2021-06-11 05:00:00,119.92217,1.09431,119.05867,59.96363,85.14587,0.90743,33.83274,7.95374,40.31753,34.64216,0.00472,35.0,14.46546,30.82366,12.06869,20.6,89,5.4
2021-06-11 06:00:00,119.9295,1.09266,118.86206,59.96888,85.26494,0.90727,33.783,7.9947,40.25964,34.64246,0.00531,34.99734,14.46073,30.85641,11.88249,20.5,89,4.7
2021-06-11 07:00:00,119.90812,1.11074,121.10939,59.96451,85.38478,0.90931,31.50833,9.39491,40.19446,36.2238,0.0059,33.03248,14.40072,30.86136,12.33707,21.0,86,5.2
2021-06-11 08:00:00,119.90898,1.08859,118.36903,59.96525,85.50468,0.90702,29.74961,7.99819,39.9352,34.97579,0.00384,29.9941,14.41552,30.90135,12.48672,22.0,82,1.5
